Node,Betweenness Centrality,Closeness Centrality,Degree Centrality
 chintskap,0.0,0.003205128205128205,0.003205128205128205
 yamigautam,0.0,0.003205128205128205,0.003205128205128205
 iTIGERSHROFF,0.0,0.003205128205128205,0.003205128205128205
 MamataOfficial,0.0,0.003205128205128205,0.003205128205128205
 kamaalrkhan,0.0,0.003205128205128205,0.003205128205128205
 AnilKapoor,0.0,0.00641025641025641,0.00641025641025641
 jessicaalba,0.0,0.003205128205128205,0.003205128205128205
 UberSoc,0.0,0.003205128205128205,0.003205128205128205
 ajaydevgn,0.0,0.003205128205128205,0.003205128205128205
 RealHughJackman,0.0,0.003205128205128205,0.003205128205128205
 akshaykumar,0.0,0.01282051282051282,0.01282051282051282
 BarackObama,0.0,0.009615384615384616,0.009615384615384616
 wasimakramlive,0.0,0.003205128205128205,0.003205128205128205
 ajinkyarahane88,0.0,0.003205128205128205,0.003205128205128205
 mrsfunnybones,0.0,0.01282051282051282,0.01282051282051282
 AKFansGroup,0.0,0.003205128205128205,0.003205128205128205
 BillGates,0.0,0.009615384615384616,0.009615384615384616
sachin_rt,0.0,0.0,0.16025641025641024
 RoyPrice,0.0,0.003205128205128205,0.003205128205128205
 PadManTheFilm,0.0,0.003205128205128205,0.003205128205128205
 ToiletTheFilm,0.0,0.003205128205128205,0.003205128205128205
 GrazingGoatPix,0.0,0.003205128205128205,0.003205128205128205
 BharatKeVeer,0.0,0.003205128205128205,0.003205128205128205
 akkikumaritaly,0.0,0.003205128205128205,0.003205128205128205
 ImZaheer,0.0,0.003205128205128205,0.003205128205128205
 AkshayKumFansWB,0.0,0.003205128205128205,0.003205128205128205
 2Point0movie,0.0,0.003205128205128205,0.003205128205128205
 TeamAkshay,0.0,0.003205128205128205,0.003205128205128205
 SimplySajidK,0.0,0.003205128205128205,0.003205128205128205
 Akkistaan,0.0,0.003205128205128205,0.003205128205128205
 mybmc,0.0,0.003205128205128205,0.003205128205128205
 isro,0.0,0.003205128205128205,0.003205128205128205
 iamsrk,0.0,0.022435897435897436,0.022435897435897436
 imVkohli,0.0,0.01282051282051282,0.01282051282051282
